,sym,date,time,price,size,cond,cancelled,exchTime,exchDate,exch
158,0005.HK,2019-09-04,09:30:25.139,56.5,2000,,0,09:30:25.000,2019-09-04,HKG
159,0005.HK,2019-09-04,09:30:25.571,56.5,1200,,0,09:30:25.000,2019-09-04,HKG
160,0005.HK,2019-09-04,09:30:25.571,56.5,1200,,0,09:30:25.000,2019-09-04,HKG
161,0005.HK,2019-09-04,09:30:25.571,56.5,4000,,0,09:30:25.000,2019-09-04,HKG
162,0005.HK,2019-09-04,09:30:25.768,56.4,400,,0,09:30:25.000,2019-09-04,HKG
163,0005.HK,2019-09-04,09:30:26.011,56.4,1200,,0,09:30:26.000,2019-09-04,HKG
164,0005.HK,2019-09-04,09:30:30.086,56.5,2000,,0,09:30:30.000,2019-09-04,HKG
165,0005.HK,2019-09-04,09:30:30.335,55.8,74,D,0,09:30:30.000,2019-09-04,HKG
166,0005.HK,2019-09-04,09:30:30.335,55.75,114,D,0,09:30:30.000,2019-09-04,HKG
167,0005.HK,2019-09-04,09:30:30.335,55.85,31,D,0,09:30:30.000,2019-09-04,HKG
168,0005.HK,2019-09-04,09:30:30.587,56.5,1200,,0,09:30:30.000,2019-09-04,HKG
169,0005.HK,2019-09-04,09:30:31.284,56.5,400,,0,09:30:31.000,2019-09-04,HKG
170,0005.HK,2019-09-04,09:30:32.093,56.5,400,,0,09:30:32.000,2019-09-04,HKG
171,0005.HK,2019-09-04,09:30:32.093,56.5,400,,0,09:30:32.000,2019-09-04,HKG
172,0005.HK,2019-09-04,09:30:32.093,56.5,400,,0,09:30:32.000,2019-09-04,HKG
173,0005.HK,2019-09-04,09:30:32.093,56.5,400,,0,09:30:32.000,2019-09-04,HKG
174,0005.HK,2019-09-04,09:30:32.093,56.5,3200,,0,09:30:32.000,2019-09-04,HKG
175,0005.HK,2019-09-04,09:30:32.093,56.5,400,,0,09:30:32.000,2019-09-04,HKG
176,0005.HK,2019-09-04,09:30:32.093,56.5,400,Y,0,09:30:32.000,2019-09-04,HKG
